Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;RIO BRANCO;F. S.C. MAGALHÃES - ME.; 34.717.256/0001-36;RODOVIA BR 364 - RUA 3 - ZONA A SETOR 14 L/1A;S/N;;DISTRITO INDUSTRIA;69917-100;ETANOL;05/01/2009;2,06;;R$ / litro;BRANCA
N;AC;RIO BRANCO;F. S.C. MAGALHÃES - ME.; 34.717.256/0001-36;RODOVIA BR 364 - RUA 3 - ZONA A SETOR 14 L/1A;S/N;;DISTRITO INDUSTRIA;69917-100;DIESEL;05/01/2009;2,45;;R$ / litro;BRANCA
N;AC;RIO BRANCO;POSTO VILLAGE LTDA.; 06.906.483/0001-74;RUA ANTONIO DA ROCHA VIANA;S/N;CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04;VILA IVONETE;69914-610;GASOLINA;06/01/2009;2,9;2,3847;R$ / litro;CBPI
N;AC;RIO BRANCO;POSTO VILLAGE LTDA.; 06.906.483/0001-74;RUA ANTONIO DA ROCHA VIANA;S/N;CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04;VILA IVONETE;69914-610;ETANOL;06/01/2009;2,09;1,7624;R$ / litro;CBPI
N;AC;RIO BRANCO;POSTO VILLAGE LTDA.; 06.906.483/0001-74;RUA ANTONIO DA ROCHA VIANA;S/N;CONJ. VILLAGE W. MARCIEL QD. 02 LOTES 01 A 04;VILA IVONETE;69914-610;DIESEL;06/01/2009;2,45;2,1221;R$ / litro;CBPI
N;AC;RIO BRANCO;T. M. COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA; 03.899.888/0002-15;RUA VALDOMIRO LOPES;793;;CONQUISTA;69914-460;GASOLINA;07/01/2009;2,9;2,3898;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;T. M. COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA; 03.899.888/0002-15;RUA VALDOMIRO LOPES;793;;CONQUISTA;69914-460;ETANOL;07/01/2009;2,09;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;T. M. COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA; 03.899.888/0002-15;RUA VALDOMIRO LOPES;793;;CONQUISTA;69914-460;DIESEL;07/01/2009;2,45;2,1097;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO CIDADE - EIRELI; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;;7 BEC;69918-093;GASOLINA;07/01/2009;2,92;2,4775;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO CIDADE - EIRELI; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;;7 BEC;69918-093;ETANOL;07/01/2009;2,06;1,852;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
